"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1774445693547192802","Sun Mar 31 14:36:36 +0000 2024","1","Jepang emang penjajah tapi penduduk sipilnya juga jadi korban perang. Have some empathy. Emang pada dasarnya warga Indonesia adalah kaum nyinyir &amp; nirempati gabisa liat korbannya.","1774445696424509760","","pieshie","in","Space","0","1","0","https://x.com/pieshie/status/1774445696424509760","1528930194","pieshie"
"1774430664420630564","Sun Mar 31 14:36:34 +0000 2024","0","@KangManto123 @officialMKRI @jokowi @DPR_RI Anak2 Indonesia gak perlu bercita cita jadi Presiden ya Ingat! Sudah ada yg mengkavling posisi itu.","1774445690195951797","","KangManto123","in","Arcamanik, Indonesia","0","0","0","https://x.com/narayanastra78/status/1774445690195951797","1605222925656678400","narayanastra78"
"1774445688358907904","Sun Mar 31 14:36:34 +0000 2024","3","Sederet pemimpin negara di berbagai belahan dunia sdh mengucapkan selamat kpd Bpk.@prabowo bahkan ada yg mengundangnya scr langsung Tapi ada 2 org Indonesia yg masih trs mencari kesalahan. Ya sikap legowo itu berat bahkan @aniesbaswedan &amp; @ganjarpranowo tdk sanggup melakukannya","1774445688358907904","","","in","","0","0","0","https://x.com/rdavid_99/status/1774445688358907904","1732704307613761536","rdavid_99"
"1774444788944949269","Sun Mar 31 14:36:34 +0000 2024","0","@pledis_17 love you tak tunggu di indonesia ya sayang","1774445688224457193","","pledis_17","in","Surabaya - Indonesia","0","0","0","https://x.com/dinaaaa52/status/1774445688224457193","72534739","dinaaaa52"
"1773926060691988564","Sun Mar 31 14:36:31 +0000 2024","2","@zaehyungie Push FRI(END)S di semua platform https://t.co/o9NZl9Ue4V","1774445677210423322","https://pbs.twimg.com/media/GKAY0xdaIAAGb_E.jpg","KTHIndonesia","in","Indonesia","0","0","1","https://x.com/KTHIndonesia/status/1774445677210423322","1178247823659110400","KTHIndonesia"
"1774428290633355502","Sun Mar 31 14:36:30 +0000 2024","0","@RamadityaPA Awas cak ngko mbok di serang dengan pertanyaan sebagai berikut : 1. Kewarga negaraan ? 2. Kota anda bukan bagian dari negara +62 ? 3. Apakah anda bnr² pencinta sepak bola +62? 4. Timnas Indonesia salah apa ? 5. Apa club lokal anda lebih baik dri timnas ? 6. Jiwa nasionalisme ?","1774445672508412226","","RamadityaPA","in","The Soul Of Java","0","0","0","https://x.com/AchmdKhmsn/status/1774445672508412226","1497875055740526593","AchmdKhmsn"
"1774445664828899363","Sun Mar 31 14:36:28 +0000 2024","0","Dalam kesempatan buka bersama partai @PDemokrat dengan kader &amp; dihadiri bapak presiden ke 6 bapak @SBYudhoyono &amp; tamu undangan bapak @prabowo presiden terpilih #indonesia ketum mas Ahy selalu mengingatkan utama kemenangan untuk kepentingan rakyat &amp; menuju #indonesiamaju https://t.co/3Yoq2kfssO","1774445664828899363","https://pbs.twimg.com/ext_tw_video_thumb/1774445591189491712/pu/img/-qjP9uVZrsuuBGxZ.jpg","","in","","0","0","0","https://x.com/singgihtepos01/status/1774445664828899363","1527361675690930177","singgihtepos01"
"1774445636248826202","Sun Mar 31 14:36:21 +0000 2024","0","Kalau di kampung sini kebanyakan orang tua lebih mengutamakan anak2 berbahasa Indonesia di rumah. Akhirnya yg terjadi adalah banyak anak yg kurang bisa berbahasa daerah namun bahasa Indonesianya juga tidak bisa dikatakan bagus.","1774445636248826202","","","in","Middle Earth","0","1","0","https://x.com/octoputri/status/1774445636248826202","100964300","octoputri"
"1774445635674222733","Sun Mar 31 14:36:21 +0000 2024","159","Bitcoin Halving Tinggal 20 Hari Lagi! Bakal gimana reaksi pasar? https://t.co/2OhRz3xbDA","1774445635674222733","https://pbs.twimg.com/media/GKAY5KTaoAE8Z00.jpg","","in","","2","6","10","https://x.com/sangmemequeen/status/1774445635674222733","1492146816980119553","sangmemequeen"
"1774442821371777394","Sun Mar 31 14:36:15 +0000 2024","0","@AndryWaseso Udah bubar lama terakhir kalo ndak salah dari Indonesia ada eks vokalisnya Yovie n Nuno.","1774445607291379984","","AndryWaseso","in","papan skor","0","0","0","https://x.com/samektabangun/status/1774445607291379984","97234890","samektabangun"
"1774445599997538579","Sun Mar 31 14:36:13 +0000 2024","0","2022 dtnya sperti ini oleh seorg ateis stlh 3jam akhirnya dpt jawaban yg pas berasal dr 3 ajaran islam yg berkembang di nusantara/indonesia.","1774445599997538579","","","in","JKT","0","0","0","https://x.com/poriskha/status/1774445599997538579","3039814633","poriskha"
"1774445582347821385","Sun Mar 31 14:36:09 +0000 2024","70","ANJG DEJAVU BANGET KALO LIVERPOOL COUNTER BEL MUSUH SISA 1","1774445582347821385","","","in","","0","10","2","https://x.com/The_RedsIndo/status/1774445582347821385","1392892878314119170","The_RedsIndo"
"1774445582255628291","Sun Mar 31 14:36:09 +0000 2024","29","SALAHH MARUK BANGETT WOYY #Blibli @bliblidotcom","1774445582255628291","","","in","Indonesia","0","10","1","https://x.com/thejurgenholic/status/1774445582255628291","1637087245189656576","thejurgenholic"
"1774445581341233393","Sun Mar 31 14:36:08 +0000 2024","0","Sangat disayangkan Pramuka tak dijadikan kegiatan wajib lagi di sekolah Indonesia. Padahal ada teamwork pembentukan karakter di Pramuka itu. Kegiatan Pramuka juga bagus banget utk atasi kecanduan gadget yg udah biasa terjadi di jaman sekarang cc @Kemdikbud_RI","1774445581341233393","","","in","Bintaro, Tangerang, Banten","0","0","0","https://x.com/fadhlierlanda/status/1774445581341233393","97174911","fadhlierlanda"
"1774416925579423904","Sun Mar 31 14:36:07 +0000 2024","0","@convomfs Indonesia mw full cashless lah jaringannya aja bapuk bnget","1774445574886179102","","convomfs","in","","0","0","0","https://x.com/bcshiir/status/1774445574886179102","1491372577583149057","bcshiir"
"1774445559975399529","Sun Mar 31 14:36:03 +0000 2024","15","Menteri Pertahanan Prabowo Subianto tiba di China Minggu (31/3). Kepergiannya ke China untuk bertemu dengan Presiden China Xi Jinping dan Perdana Menteri Li Qiang. Kunjungan Prabowo ini untuk mempererat hubungan kerja sama Indonesia dan China terutama di bidang pertahanan. https://t.co/jszqFE4uXS","1774445559975399529","https://pbs.twimg.com/ext_tw_video_thumb/1774445070558851072/pu/img/fGE0nWXkuS_sX1Bk.jpg","","in","Jakarta","2","5","3","https://x.com/holopiscom/status/1774445559975399529","1366400664960573441","holopiscom"
